4 4 48 96 54.02620
4 6 42 144 40.22561
4 8 38 192 38.68477
4 10 34 240 33.82331
4 12 30 288 57.32480
4 14 28 336 78.36883
4 16 26 384 214.14873
4 18 24 432 265.17478
4 4 48 96 55.10223
4 6 42 144 46.79558
4 8 38 192 37.02877
4 10 34 240 32.57504
4 12 30 288 48.67109
4 14 28 336 307.62480
4 16 26 384 263.01064
4 18 24 432 300.11599
4 4 48 96 53.18539
4 6 42 144 42.97560
4 8 38 192 41.57757
4 10 34 240 34.22854
4 12 30 288 62.90057
4 14 28 336 300.00495
4 16 26 384 262.85743
4 18 24 432 245.16198
