5 4 48 160 63.16210
5 6 42 240 52.28314
5 8 38 320 433.52079
5 10 34 400 313.50106
5 12 30 480 438.01832
5 14 28 560 483.15217
5 16 26 640 510.45438
5 18 24 720 516.39757
5 4 48 160 54.68540
5 6 42 240 46.78011
5 8 38 320 390.73315
5 10 34 400 324.55743
5 12 30 480 400.29133
5 14 28 560 437.80315
5 16 26 640 506.32092
5 18 24 720 452.43409
5 4 48 160 75.11020
5 6 42 240 42.05222
5 8 38 320 400.48313
5 10 34 400 354.58730
5 12 30 480 350.25999
5 14 28 560 444.10073
5 16 26 640 447.61202
5 18 24 720 432.25172
5 4 48 160 59.02871
5 6 42 240 52.35818
5 8 38 320 98.86560
5 10 34 400 332.99303
5 12 30 480 300.38533
5 14 28 560 382.65110
5 16 26 640 405.15623
5 18 24 720 345.81309
5 4 48 160 60.33866
5 6 42 240 53.14317
5 8 38 320 94.51798
5 10 34 400 298.16746
5 12 30 480 221.74896
5 14 28 560 204.53077
5 16 26 640 300.45842
5 18 24 720 320.74913
5 4 48 160 56.45770
5 6 42 240 44.13074
5 8 38 320 97.26865
5 10 34 400 295.91526
5 12 30 480 219.28416
5 14 28 560 221.68578
5 16 26 640 390.95273
5 18 24 720 321.58956
5 4 48 160 69.40349
5 6 42 240 51.13906
5 8 38 320 400.76896
5 10 34 400 302.13805
5 12 30 480 218.90290
5 14 28 560 212.91635
5 16 26 640 399.85545
5 18 24 720 309.83213
5 4 48 160 60.13827
5 6 42 240 44.24533
5 8 38 320 397.83360
5 10 34 400 308.08188
5 12 30 480 213.22435
5 14 28 560 231.23995
5 16 26 640 291.78695
5 18 24 720 301.70729
