3 4 48 48 59.13602
3 6 42 72 42.86684
3 8 38 96 34.21389
3 10 34 120 31.74827
3 12 30 144 38.44914
3 14 28 168 33.08059
3 16 26 192 28.31812
3 18 24 216 35.14688
3 4 48 48 57.04225
3 6 42 72 48.42862
3 8 38 96 34.00514
3 10 34 120 40.80418
3 12 30 144 35.18716
3 14 28 168 39.35279
3 16 26 192 38.81299
3 18 24 216 48.16919
3 4 48 48 57.04225
3 6 42 72 48.42862
3 8 38 96 34.00514
3 10 34 120 40.80418
3 12 30 144 35.18716
3 14 28 168 39.35279
3 16 26 192 38.81299
3 18 24 216 29.84901
3 4 48 48 62.28437
3 6 42 72 41.14173
3 8 38 96 34.18674
3 10 34 120 29.43474
3 12 30 144 35.58353
3 14 28 168 21.32081
3 16 26 192 21.68825
3 18 24 216 21.93000
3 4 48 48 43.55877
3 6 42 72 46.02915
3 8 38 96 38.83890
3 10 34 120 34.91411
3 12 30 144 33.56980
3 14 28 168 27.30333
3 16 26 192 21.48950
3 18 24 216 22.12123
3 4 48 48 57.37655
3 6 42 72 42.24392
3 8 38 96 43.41029
3 10 34 120 25.99923
3 12 30 144 29.37650
3 14 28 168 25.57458
3 16 26 192 22.91514
3 18 24 216 25.03620
3 4 48 48 65.63672
3 6 42 72 41.11751
3 8 38 96 36.77160
3 10 34 120 33.64352
3 12 30 144 25.83399
3 14 28 168 29.01010
3 16 26 192 29.07941
3 18 24 216 20.51503
