2 4 48 16 53.35148
2 6 42 24 37.48030
2 8 38 32 36.01385
2 10 34 40 22.82200
2 12 30 48 27.55409
2 14 28 56 35.53400
2 16 26 64 22.27191
2 18 24 72 20.26690
2 4 48 16 51.07874
2 6 42 24 39.76367
2 8 38 32 28.04400
2 10 34 40 33.08375
2 12 30 48 37.32292
2 14 28 56 23.37746
2 16 26 64 22.60226
2 18 24 72 18.98002
2 4 48 16 35.09942
2 6 42 24 33.43414
2 8 38 32 28.98319
2 10 34 40 29.97991
2 12 30 48 30.71043
2 14 28 56 25.34939
2 16 26 64 25.25214
2 18 24 72 21.64856
2 4 48 16 44.55178
2 6 42 24 38.42379
2 8 38 32 31.14195
2 10 34 40 24.51939
2 12 30 48 34.00958
2 14 28 56 31.02512
2 16 26 64 22.45708
2 18 24 72 17.69314
2 4 48 16 47.12085
2 6 42 24 32.90623
2 8 38 32 33.06981
2 10 34 40 28.51514
2 12 30 48 25.06681
2 14 28 56 20.25891
2 16 26 64 30.54753
2 18 24 72 15.96418
2 4 48 16 58.05498
2 6 42 24 41.42239
2 8 38 32 36.63649
2 10 34 40 35.54014
2 12 30 48 24.76571
2 14 28 56 19.36851
2 16 26 64 22.70161
2 18 24 72 19.46178
2 4 48 16 50.79504
2 6 42 24 37.14859
2 8 38 32 33.64549
2 10 34 40 35.83870
2 12 30 48 27.75332
2 14 28 56 23.21265
2 16 26 64 21.53363
2 18 24 72 20.88213
2 4 48 16 39.38921
2 6 42 24 37.74424
2 8 38 32 35.68224
2 10 34 40 28.87672
2 12 30 48 23.54288
2 14 28 56 26.95457
2 16 26 64 18.53351
2 18 24 72 17.74263
